state,modern.dance,xbox,ice.fishing,runny.nose,prius,escalade,college,retirement,401k,deep.fried,jello,vegan
Alabama,-1.186,0.405,-0.621,0.538,-0.749,0.018,0.913,1.589,0.231,-0.754,-0.842,-1.362
Alaska,-0.695,0.172,0.491,-0.638,-0.619,0.14,-2.178,2.65,0.008,3.049,0.107,0.504
Arizona,0.166,0.122,-0.585,0.688,1.223,0.847,-0.031,0.761,0.446,-0.284,-0.617,0.505
Arkansas,-1.28,1.268,-0.584,0.968,-0.324,1.245,-0.696,0.075,-0.849,-0.171,-0.25,-0.934
California,0.111,-1.414,-0.614,0.03,3.492,-0.401,-0.514,-2.139,-0.176,-0.626,-1.334,1.024
Colorado,-0.422,-0.832,-0.033,-0.237,0.285,-0.133,-0.56,-0.449,0.633,-0.308,-0.601,0.707
Connecticut,0.489,-0.432,-0.318,-0.807,0.188,-1.011,1.081,-0.378,1.472,-0.96,-0.719,0.232
Delaware,-0.471,-0.068,-0.593,-0.257,0.204,-0.517,-0.494,-0.657,1.606,-0.463,-0.543,-0.167
District of Columbia,0.248,-2.703,-0.562,-0.959,0.603,-0.197,-0.345,1.886,0.424,-0.945,-1.244,0.392
Florida,-0.543,-0.455,-0.623,-0.128,-0.184,0.949,-0.463,-1.13,-0.963,-0.873,-1.123,-0.215
Georgia,-0.796,-0.666,-0.606,0.574,-0.662,1.08,0.191,-0.888,0.386,-0.762,-1.141,-0.734
Hawaii,0.777,-1.077,-0.64,3.314,1.717,-0.902,-0.705,0.561,-1.011,2.015,0.693,0.652
Idaho,0.253,1.226,-0.046,-0.545,-0.178,-0.641,-0.884,-0.574,-0.864,0.447,1.21,-0.086
Illinois,-0.53,-0.587,-0.217,0.562,-0.268,0.338,-0.031,-1.199,0.718,-0.121,0.253,0.18
Indiana,-0.211,1.261,-0.262,0.291,-0.306,-0.106,-0.926,-0.585,0.599,0.567,0.592,-0.467
Iowa,-0.826,0.307,0.721,-0.626,-0.3,-0.403,1.66,0.134,0.626,-0.632,2.834,-0.782
Kansas,-1.04,0.888,-0.468,0.215,-0.274,0.037,0.466,-0.02,-0.071,-0.639,0.869,-0.671
Kentucky,-0.023,2.059,-0.552,1.516,-0.561,0.072,0.407,0.505,-0.114,1.178,-0.137,-0.765
Louisiana,-0.084,-0.135,-0.612,1.347,-1.292,1.827,-1.009,-0.375,-0.749,-0.935,-0.457,-1.023
Maine,0.476,-0.336,1.726,-1.24,1.173,-1.925,0.582,0.027,-0.903,0.165,-0.146,1.287
Maryland,1.543,-1.008,-0.583,-0.108,0.712,-0.446,1.06,1.751,0.85,-0.706,-0.895,0.434
