State;1974;1978;1982;1987;1992;1997;2002;2007;1974;1978;1982;1987;1992;1997;2002;2007
   Alabama;0;0;9;10;17;8;10;15;0;0;6;149;141;0;0;5
   Alaska;9;12;9;21;18;1;31;22;3;4;9;39;13;26;37;28
   Arizona;10;15;16;21;41;39;54;44;752;1,029;1,430;3,323;5,993;11,141;11,970;11,869
   Arkansas;0;0;2;7;17;14;16;12;0;0;0;4;38;15;46;4
   California;235;355;382;410;475;534;535;416;40,952;62,501;65,796;74,683;99,021;118,140;120,560;106,271
   Colorado;5;15;10;20;37;26;25;20;4;20;39;525;912;496;562;509
   Connecticut;24;26;43;51;62;51;30;63;22;49;41;171;51;65;20;38
   Delaware;3;5;13;17;9;10;3;11;4;2;21;72;91;15;0;6
   Florida;11;23;15;44;37;20;29;52;15;69;170;435;409;0;220;0
   Georgia;0;4;10;15;9;8;15;29;0;3;35;12;4;2;0;219
   Hawaii;10;26;23;39;23;24;23;26;33;78;131;166;161;140;153;100
   Idaho;0;0;3;5;6;12;12;7;0;0;1;3;0;2;2;1
   Illinois;7;23;64;69;69;51;38;47;1;28;107;1,348;618;119;34;50
   Indiana;7;26;93;58;53;37;21;23;11;21;105;131;80;35;18;12
   Iowa;0;4;11;41;43;28;35;42;0;1;7;41;16;11;16;11
   Kansas;4;0;8;22;21;15;19;37;3;0;8;35;31;5;6;6
   Kentucky;6;5;38;47;53;41;24;58;4;1;38;49;273;40;49;16
   Louisiana;4;6;4;6;257;6;24;36;6;6;5;17;34;10;19;22
   Maine;13;33;54;55;81;50;59;71;2;33;302;2,367;3,219;0;0;0
   Maryland;9;84;63;62;78;60;44;40;5;27;53;122;121;63;33;35
   Massachusetts;30;53;89;73;112;85;74;98;17;30;74;85;85;63;43;71
   Michigan;57;134;195;194;160;123;124;164;38;80;452;514;289;217;250;205
   Minnesota;12;24;49;67;12;14;33;97;0;33;92;54;20;45;35;85
   Mississippi;0;4;4;4;7;7;6;2;13;3;27;0;2;3;0;0
   Missouri;3;4;7;7;41;20;29;33;1;1;6;6;8;17;6;9
   Montana;0;9;4;9;0;0;17;42;0;3;3;4;0;0;4;10
   Nebraska;0;6;7;11;5;6;9;18;0;2;2;7;1;4;1;5
   Nevada;0;0;0;0;0;0;3;3;0;0;0;0;0;0;1;0
   New Hampshire;15;32;24;32;46;40;28;51;2;18;14;22;25;13;7;24
   New Jersey;65;119;170;143;158;87;70;74;212;385;530;342;398;289;123;139
   New Mexico;4;6;0;0;14;8;6;5;1;2;0;0;12;4;1;1
   New York;73;168;289;299;323;232;204;270;219;172;358;1,262;646;612;364;0
   North Carolina;12;20;97;60;73;31;75;138;4;23;137;196;1,035;279;674;187
   North Dakota;0;3;0;3;0;0;3;1;0;0;0;2;90;29;0;0
   Ohio;14;36;86;84;77;62;64;87;8;22;22;388;20;6;37;27
   Oklahoma;0;0;1;7;11;13;8;21;0;0;0;22;2,724;3,889;1;4
   Oregon;75;52;97;98;105;108;117;104;2,281;859;87;2,626;359;182;1,414;1,410
   Pennsylvania;36;94;208;268;238;211;219;218;31;70;49;272;8;13;211;183
   Rhode Island;3;4;4;12;23;12;4;13;1;1;0;8;30;25;5;11
   South Carolina;0;5;22;8;14;9;5;23;0;4;8;12;7;9;0;0
   South Dakota;0;0;1;3;0;0;1;3;0;0;1;0;0;0;0;0
   Tennessee;4;9;19;27;19;17;10;50;1;5;4;63;7;0;10;12
   Texas;22;64;94;113;76;66;57;47;481;2,219;6,746;8,524;3,813;755;476;512
   Utah;0;0;0;0;0;0;2;9;0;0;0;0;0;0;0;1
   Vermont;0;35;51;52;48;33;0;75;0;8;24;81;34;27;50;33
   Virginia;3;15;46;78;82;40;48;75;82;44;71;216;204;33;86;551
   Washington;16;36;65;44;39;56;31;120;1,037;88;1,086;623;1,028;0;1,119;859
   West Virginia;0;5;22;19;18;10;101;18;0;3;10;10;5;5;7;6
   Wisconsin;0;37;85;82;78;69;16;155;23;39;111;1,023;312;173;78;0
   Wyoming;0;0;0;0;0;0;80;2;0;0;0;0;0;0;0;0
