store_id,address,postal_code,city,station 
1,516 VelRd.,L9Y0W1,Dornoch,1
2,77656 Erat Rd.,H88HZ,Stuttgart,14
3,45152 Sed Ave,G552CN,Rocca di Cambio,7
4,337 EgetRoad,EC921EA,Baton Rouge,9
5,1 Nisi Av.,E6X1L9,Landeck,12
6,6244361 Mi Av.,CP7B5DP,Snellegem,14
7,24321 Magnis St.,C674IW,Bear,6
8,32726 Ipsum Rd.,C5N5LI,Gasteiz,4
9,62133 AnteAvenue,C1Z1Y9,Whitby,17
10,2334 Pharetra Rd.,B6W4A0,Rocca d'Arce,12
11,366431 InAv.,B1A1C4,Wilmont,10
12,4124 Nunc. Avenue,A78MX,Drumheller,11
13,45 Suspendisse Avenue,A527IG,Warri,6
14,6763 Auctor Avenue,A47LN,Prince Albert,16
15,262361 ElitRd.,94183,North Vancouver,13
16,663561 Velit. Rd.,9138FM,Port Hope,2
17,771 Luctus Ave,90299,Arnesano,20
18,752521 Neque. Road,89193,Portland,17
19,116 Neque. Rd.,85507,l'Ecluse,15
20,13 Porttitor Rd.,8339VF,G_ksun,7
21,554357 VulputateRd.,80817,Fort Simpson,3
22,523527 Arcu Av.,78252,Malartic,10
23,72 Aliquam Avenue,7220HO,Osogbo,17
24,716 In Road,72421,Louisville,9
25,13777 Dapibus St.,71957773,Darlington,13
26,5542 Adipiscing Street,70546,Fahler,17
27,73664 Donec Avenue,68627,Annone di Brianza,10
28,43 Facilisis. St.,64155,Braunau am Inn,7
29,6451 Mi Avenue,63958354,Broken Hill,3
30,4614 Elit St.,63403663,Philadelphia,19
31,722 Eros Ave,62235,Altamura,17
32,451 UtRoad,60070,Renfrew,13
33,2 AmetAve,5825AV,Guarapuava,3
34,3726 Mauris Street,5435XV,Overland Park,17
35,15263 Nisi. Av.,54228433,_mamo_lu,5
36,67 Pharetra Street,4594HL,Tourinne,18
37,532513 Mi. Avenue,44212829,Poucet,13
38,531 Vulputate Rd.,3568TP,Termes,14
39,464512 Feugiat. St.,3115IJ,San Vito al Tagliamento,8
40,336454 Accumsan Avenue,3067NW,Rosolini,13
41,47 Euismod St.,28906160,Santa Luzia,12
42,55574 Ultrices Rd.,28559574,100 Mile House,14
43,23756 Porttitor Avenue,25423708,Harrison Hot Springs,11
44,51621 Nulla St.,2041JR,Knittelfeld,12
45,46 Etiam Road,19622,Rocourt,16
