inventory_id,store_id,item_id,lastupdate,quantity
1,1,1,04/11/2012,
2,1,2,12/28/2014,8
3,1,3,11/10/2013,8
4,1,4,03/05/2012,4
5,1,5,04/28/2008,9
6,1,6,04/18/2007,3
7,1,7,04/26/2011,10
8,1,8,04/04/2009,6
9,1,9,03/24/2008,3
10,1,10,04/29/2013,66
11,1,11,02/28/2010,55
12,1,12,03/26/2010,5
13,1,13,03/12/2008,10
14,1,14,02/12/2015,7
15,1,15,01/30/2014,10
16,1,16,12/11/2009,8
17,1,17,11/29/2010,97
18,1,18,11/06/2010,2
19,1,19,08/02/2015,7
20,1,20,04/05/2013,10
21,1,21,12/14/2009,10
22,1,22,10/10/2010,8
23,1,23,08/26/2007,1
24,1,24,10/03/2013,2
25,1,25,02/23/2014,4
26,1,26,07/09/2014,34
27,1,27,09/30/2008,8
28,1,28,07/28/2013,33
29,1,29,12/03/2010,9
30,1,30,03/23/2010,5
31,1,31,05/18/2009,55
32,1,32,11/01/2015,1
33,1,33,06/26/2015,6
34,1,34,04/01/2014,1
35,1,35,01/13/2007,7
36,1,36,08/25/2010,5
37,1,37,01/28/2008,123
38,1,38,08/29/2009,10
39,1,39,03/26/2015,9
40,1,40,06/30/2008,200
41,1,41,03/07/2010,9
42,1,42,07/19/2011,10
43,1,43,05/17/2012,1
44,1,44,06/26/2011,6
45,1,45,03/28/2011,9
46,1,46,06/19/2010,6
47,1,47,07/11/2009,2
48,1,48,02/13/2015,2
49,1,49,03/27/2008,1
50,1,50,01/20/2010,8
51,1,51,03/02/2015,8
52,1,52,09/04/2014,9
53,1,53,05/07/2015,1
54,1,54,04/26/2009,8
55,1,55,02/16/2012,9
56,1,56,12/17/2006,5
57,1,57,12/10/2010,4
58,1,58,11/22/2009,8
59,1,59,03/24/2012,9
60,1,60,04/04/2009,434
61,1,61,05/08/2015,4
62,1,62,09/03/2011,1
63,1,63,03/22/2008,4
64,1,64,09/04/2015,8
65,1,65,05/15/2013,6
66,1,66,02/05/2007,7
67,1,67,02/01/2013,8
68,1,68,04/12/2008,5
69,1,69,10/31/2015,2
70,1,70,11/02/2014,7
71,1,71,10/12/2013,55
72,1,72,06/02/2012,5
73,1,73,11/19/2009,10
74,1,74,03/17/2010,7
75,1,75,12/05/2007,10
76,1,76,01/21/2013,8
77,1,77,11/23/2009,97
78,1,78,12/01/2010,2
79,1,79,05/17/2008,7
80,1,80,12/01/2008,10
81,1,81,04/07/2015,10
82,1,82,08/01/2012,8
83,1,83,08/03/2009,1
84,1,84,03/06/2015,2
85,1,85,11/26/2012,4
86,1,86,01/15/2012,34
87,1,87,02/01/2013,8
88,1,88,01/18/2011,33
89,1,89,08/07/2007,9
90,1,90,08/26/2014,5
91,1,91,04/10/2007,55
92,1,92,06/13/2013,1
93,1,93,04/30/2009,6
94,1,94,12/11/2010,1
95,1,95,08/21/2015,7
96,1,96,10/14/2012,5
97,1,97,01/03/2015,123
98,1,98,05/10/2010,10
99,1,99,12/08/2012,9
100,1,100,02/08/2008,200
101,1,101,02/04/2009,9
102,1,102,12/08/2012,10
103,1,103,01/30/2008,1
104,1,104,02/02/2013,6
105,1,105,06/12/2015,9
106,1,106,08/11/2008,3
107,1,107,10/18/2010,10
108,1,108,12/21/2009,6
109,1,109,01/07/2012,3
110,1,110,12/20/2008,8
111,1,111,01/14/2011,6
112,2,1,07/22/2009,5
113,2,2,12/15/2013,10
