source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
TweetDeck,It snowed over 4 inches this past weekend in New York City. It is still October. So much for Global Warming.,11-01-2011 19:43:30,418,113,false,131456348822061056
TweetDeck,Newly released emails prove that scientists have manipulated data on global warming. The data is unreliable. http://t.co/DdW3Hsvn,11-30-2011 18:25:45,252,22,false,141946031049949184
TwitLonger Beta,Global warming has been proven to be a canard repeatedly over and over again. http://t.co/RK1UoS8e  The left needs a dose of reality.,03-28-2012 18:43:43,134,21,false,185074709111644160
Twitter Web Client,Waste! With a $16T debt and $1T budget deficit @BarackObama is sending $770M overseas "to fight global warming" http://t.co/op9x8BYl,03-30-2012 17:55:45,242,10,false,185787413057114112
TwitLonger Beta,According to @BarackObama the War on Terror is over  http://t.co/7SRYZNQ1but global warming is a national (cont) http://t.co/icVj8CTJ,05-04-2012 20:12:10,39,5,false,198505316290281474
Twitter Web Client,In the 1920's people were worried about global cooling--it never happened. Now it's global warming. Give me a break!,05-04-2012 20:13:47,414,71,false,198505724689649664
Twitter Web Client,Do you believe @algore is blaming global warming for the hurricane?,11-01-2012 14:13:39,217,72,false,264007296970018816
Twitter Web Client,Let's continue to destroy the competitiveness of our factories &amp; manufacturing so we can fight mythical global warming. China is so happy!,11-01-2012 14:23:22,716,260,false,264009741234221058
Twitter Web Client,Global warming is based on faulty science and manipulated data which is proven by the emails that were leaked http://t.co/5BeAhats,11-02-2012 18:59:25,413,150,false,264441602636906496
Twitter Web Client,It’s extremely cold in NY &amp; NJ—not good for flood victims. Where is global warming?,11-05-2012 15:55:30,680,187,false,265482479547318272
Twitter Web Client,Great article in the @NewYorkPost by Ben Garrett--"Don't Blame Sandy on Global Warming" http://t.co/o2VHHPOa,11-05-2012 16:06:25,154,50,false,265485225994383363
Twitter Web Client,We can't destroy the competitiveness of our factories in order to prepare for nonexistent global warming. China is thrilled with us!,11-05-2012 16:50:18,618,258,false,265496271794630656
