Team,League,Division,HomeWins,AllWins,HomeAdv
Arizona Diamondbacks,National,West,51,94,54%
Atlanta Braves,National,East,47,89,53%
Baltimore Orioles,American,East,39,69,57%
Boston Red Sox,American,East,45,90,50%
Chicago Cubs,National,Central,39,71,55%
Chicago White Sox,American,Central,36,79,46%
Cincinnati Reds,National,Central,42,79,53%
Cleveland Indians,American,Central,44,80,55%
Colorado Rockies,National,West,38,73,52%
Detroit Tigers,American,Central,50,95,53%
Florida Marlins,National,East,31,72,43%
Houston Astros,National,Central,31,56,55%
Kansas City Royals,American,Central,40,71,56%
Los Angeles Angels,American,West,45,86,52%
Los Angeles Dodgers,National,West,42,82,51%
Milwaukee Brewers,National,Central,57,96,59%
Minnesota Twins,American,Central,33,63,52%
New York Mets,National,East,34,77,44%
New York Yankees,American,East,52,97,54%
Oakland Athletics,American,West,43,74,58%
Philadelphia Phillies,National,East,52,102,51%
Pittsburgh Pirates,National,Central,36,72,50%
San Diego Padres,National,West,35,71,49%
San Francisco Giants,National,West,46,86,53%
Seattle Mariners,American,West,39,67,58%
St. Louis Cardinals,National,Central,45,90,50%
Tampa Bay Rays,American,East,47,91,52%
Texas Rangers,American,West,52,96,54%
Toronto Blue Jays,American,East,42,81,52%
Washington Nationals,National,East,44,80,55%
