Week	data mining	predictive analytics	text analytics	business intelligence
1/4/04	87	0	0	36
1/11/04	100	0	0	38
1/18/04	95	0	0	39
1/25/04	78	0	0	50
2/1/04	95	0	0	41
2/8/04	95	0	0	38
2/15/04	94	0	0	44
2/22/04	95	0	0	46
2/29/04	95	0	0	43
3/7/04	88	0	0	48
3/14/04	93	0	0	45
3/21/04	93	0	0	31
3/28/04	80	0	0	42
4/4/04	89	0	0	40
4/11/04	84	0	0	48
4/18/04	96	0	0	45
4/25/04	95	0	0	45
5/2/04	89	0	0	52
5/9/04	86	0	0	48
5/16/04	83	0	0	32
5/23/04	86	0	0	42
5/30/04	79	0	0	32
6/6/04	81	0	0	38
6/13/04	91	0	0	43
6/20/04	70	0	0	45
6/27/04	78	0	0	41
7/4/04	79	0	0	29
7/11/04	80	0	0	30
7/18/04	80	0	0	44
7/25/04	76	0	0	31
8/1/04	63	0	0	40
8/8/04	76	0	0	38
8/15/04	79	0	0	39
8/22/04	72	0	0	42
8/29/04	73	0	0	39
9/5/04	79	0	0	41
9/12/04	73	0	0	39
9/19/04	77	0	0	56
9/26/04	77	0	0	43
10/3/04	89	0	0	43
10/10/04	84	0	0	38
10/17/04	78	0	0	38
10/24/04	76	0	0	41
10/31/04	79	0	0	39
11/7/04	83	0	0	37
11/14/04	84	0	0	40
11/21/04	81	0	0	33
11/28/04	88	0	0	42
12/5/04	86	0	0	36
12/12/04	74	0	0	41
12/19/04	54	0	0	31
12/26/04	56	0	0	30
1/2/05	60	0	0	32
1/9/05	73	0	0	38
1/16/05	61	0	0	39
1/23/05	73	0	0	34
1/30/05	58	0	0	50
2/6/05	73	0	0	41
2/13/05	69	0	0	41
2/20/05	79	0	0	36
2/27/05	73	0	0	39
3/6/05	66	0	0	43
3/13/05	77	0	0	40
3/20/05	68	0	0	39
3/27/05	63	0	0	31
4/3/05	70	0	0	36
4/10/05	77	0	0	41
4/17/05	65	0	0	35
4/24/05	63	0	0	40
5/1/05	71	0	0	38
5/8/05	67	0	0	40
5/15/05	60	0	0	42
5/22/05	54	0	0	38
5/29/05	62	0	0	39
6/5/05	61	0	0	38
6/12/05	56	0	0	39
6/19/05	60	0	0	40
6/26/05	55	0	0	35
7/3/05	51	0	0	33
7/10/05	59	0	0	43
7/17/05	55	0	0	34
7/24/05	56	0	0	32
7/31/05	47	0	0	37
8/7/05	49	0	0	34
8/14/05	53	0	0	32
8/21/05	63	0	0	32
8/28/05	53	0	0	32
9/4/05	58	0	0	35
9/11/05	54	0	0	35
9/18/05	66	0	0	37
9/25/05	66	0	0	39
10/2/05	69	0	0	40
10/9/05	61	0	0	43
10/16/05	56	0	0	38
10/23/05	55	0	0	39
10/30/05	49	0	0	35
11/6/05	58	0	0	40
11/13/05	68	0	0	40
11/20/05	56	0	0	33
11/27/05	58	0	0	34
12/4/05	59	0	0	37
12/11/05	53	0	0	30
12/18/05	47	0	0	30
12/25/05	45	0	0	19
1/1/06	47	0	0	26
1/8/06	46	0	0	34
1/15/06	54	0	0	36
1/22/06	54	0	0	38
1/29/06	54	0	0	36
2/5/06	56	0	0	37
2/12/06	52	0	0	37
2/19/06	57	0	0	36
2/26/06	54	0	0	38
3/5/06	57	0	0	38
3/12/06	57	0	0	41
3/19/06	59	0	0	40
3/26/06	53	0	0	32
4/2/06	60	0	0	34
4/9/06	49	0	0	34
4/16/06	53	0	0	35
4/23/06	57	0	0	41
4/30/06	50	0	0	37
5/7/06	58	0	0	37
5/14/06	54	0	0	35
5/21/06	49	0	0	36
5/28/06	45	0	0	39
6/4/06	46	0	0	35
6/11/06	54	0	0	38
6/18/06	41	0	0	31
6/25/06	41	0	0	37
7/2/06	43	0	0	39
7/9/06	40	0	0	35
7/16/06	43	0	0	38
7/23/06	41	0	0	32
7/30/06	38	0	0	37
8/6/06	40	0	0	33
8/13/06	38	0	0	28
8/20/06	43	0	0	33
8/27/06	45	0	0	33
9/3/06	43	0	0	33
9/10/06	46	0	0	38
9/17/06	44	0	0	34
9/24/06	43	0	0	40
10/1/06	41	0	0	39
10/8/06	52	0	0	36
10/15/06	48	0	0	41
10/22/06	44	0	0	34
10/29/06	50	0	0	35
11/5/06	50	0	0	34
11/12/06	49	0	0	40
11/19/06	47	0	0	34
11/26/06	45	0	0	34
12/3/06	44	0	0	34
12/10/06	43	0	0	30
12/17/06	36	0	0	26
12/24/06	27	0	0	16
12/31/06	31	0	0	24
1/7/07	41	0	0	36
1/14/07	44	0	0	33
1/21/07	45	0	0	32
1/28/07	41	0	0	36
2/4/07	43	0	0	37
2/11/07	45	0	0	42
2/18/07	47	0	0	33
2/25/07	43	0	0	33
3/4/07	49	0	0	36
3/11/07	45	0	0	40
3/18/07	45	0	0	41
3/25/07	43	0	0	38
4/1/07	43	0	0	34
4/8/07	45	0	0	35
4/15/07	46	0	0	38
4/22/07	48	0	0	35
4/29/07	44	0	0	35
5/6/07	46	0	0	35
5/13/07	42	0	0	41
5/20/07	45	0	0	33
5/27/07	42	0	0	34
6/3/07	44	0	0	35
6/10/07	40	0	0	37
6/17/07	38	0	0	38
6/24/07	39	0	0	34
7/1/07	35	0	0	32
7/8/07	40	0	0	34
7/15/07	40	0	0	35
7/22/07	34	0	0	32
7/29/07	39	0	0	36
8/5/07	36	0	0	32
8/12/07	40	0	0	34
8/19/07	40	0	0	34
8/26/07	41	1	0	38
9/2/07	41	0	0	38
9/9/07	44	0	0	35
9/16/07	39	0	0	32
9/23/07	44	0	0	34
9/30/07	42	0	0	36
10/7/07	47	0	0	40
10/14/07	40	0	0	38
10/21/07	39	0	0	39
10/28/07	44	0	0	41
11/4/07	38	0	0	40
11/11/07	39	0	0	43
11/18/07	41	0	0	37
11/25/07	46	0	0	38
12/2/07	43	0	0	36
12/9/07	41	0	0	36
12/16/07	36	0	0	33
12/23/07	26	0	0	22
12/30/07	30	0	0	26
1/6/08	37	1	0	36
1/13/08	38	1	0	40
1/20/08	40	1	0	37
1/27/08	40	1	0	36
2/3/08	37	1	0	39
2/10/08	42	1	0	36
2/17/08	41	1	0	35
2/24/08	39	1	0	35
3/2/08	38	1	0	35
3/9/08	39	1	0	37
3/16/08	41	0	0	36
3/23/08	38	0	0	35
3/30/08	38	0	0	37
4/6/08	40	0	0	36
4/13/08	41	0	0	36
4/20/08	43	0	0	39
4/27/08	38	0	0	31
5/4/08	39	0	0	36
5/11/08	37	0	0	35
5/18/08	40	0	0	34
5/25/08	34	0	0	34
6/1/08	34	0	0	37
6/8/08	35	1	1	35
6/15/08	32	0	0	36
6/22/08	37	0	0	34
6/29/08	31	0	0	32
7/6/08	33	0	0	34
7/13/08	30	0	0	35
7/20/08	30	0	0	35
7/27/08	30	1	0	34
8/3/08	28	1	0	35
8/10/08	29	1	0	32
8/17/08	32	1	0	32
8/24/08	33	0	0	35
8/31/08	34	0	0	38
9/7/08	34	0	0	38
9/14/08	35	0	0	36
9/21/08	35	0	0	37
9/28/08	35	0	0	34
10/5/08	33	0	0	33
10/12/08	39	0	0	33
10/19/08	33	0	0	32
10/26/08	34	1	0	35
11/2/08	37	1	0	33
11/9/08	38	1	0	34
11/16/08	38	1	0	39
11/23/08	32	1	0	30
11/30/08	38	1	0	32
12/7/08	34	1	0	35
12/14/08	31	1	0	33
12/21/08	27	1	0	23
12/28/08	24	1	0	22
1/4/09	34	1	0	33
1/11/09	34	1	0	33
1/18/09	34	1	0	35
1/25/09	37	1	0	31
2/1/09	35	1	0	35
2/8/09	37	1	0	35
2/15/09	38	1	0	36
2/22/09	38	1	0	32
3/1/09	38	1	0	37
3/8/09	37	1	0	33
3/15/09	39	1	0	37
3/22/09	36	1	0	37
3/29/09	36	1	0	37
4/5/09	35	1	0	34
4/12/09	34	1	0	36
4/19/09	34	1	0	35
4/26/09	38	1	0	32
5/3/09	35	1	0	38
5/10/09	34	1	0	35
5/17/09	34	1	0	36
5/24/09	33	1	0	35
5/31/09	33	1	0	34
6/7/09	32	1	0	36
6/14/09	34	1	0	36
6/21/09	31	1	1	32
6/28/09	30	1	0	32
7/5/09	32	1	0	33
7/12/09	30	1	0	33
7/19/09	30	1	0	32
7/26/09	32	1	0	34
8/2/09	30	1	0	34
8/9/09	32	1	0	33
8/16/09	31	1	0	33
8/23/09	33	1	0	35
8/30/09	34	1	0	33
9/6/09	33	1	0	33
9/13/09	32	1	0	31
9/20/09	36	0	0	35
9/27/09	33	1	0	32
10/4/09	34	1	0	32
10/11/09	37	1	0	33
10/18/09	34	1	0	34
10/25/09	35	1	0	35
11/1/09	36	1	0	35
11/8/09	37	1	0	35
11/15/09	38	1	0	32
11/22/09	37	1	0	32
11/29/09	37	1	0	30
12/6/09	35	1	0	31
12/13/09	33	1	0	30
12/20/09	27	1	0	20
12/27/09	21	1	0	17
1/3/10	31	1	0	28
1/10/10	32	1	0	33
1/17/10	34	1	0	29
1/24/10	36	1	0	30
1/31/10	34	1	0	33
2/7/10	35	1	0	32
2/14/10	33	1	0	34
2/21/10	32	1	0	32
2/28/10	37	1	1	33
3/7/10	36	1	1	36
3/14/10	40	1	0	36
3/21/10	35	1	0	35
3/28/10	36	1	0	33
4/4/10	34	1	1	32
4/11/10	37	1	0	36
4/18/10	35	1	0	36
4/25/10	37	1	0	36
5/2/10	37	1	0	34
5/9/10	34	1	0	32
5/16/10	33	1	0	31
5/23/10	31	1	1	30
5/30/10	30	1	0	31
6/6/10	31	1	0	33
6/13/10	31	1	0	33
6/20/10	28	1	0	33
6/27/10	28	1	0	29
7/4/10	27	1	0	29
7/11/10	30	1	0	31
7/18/10	29	1	0	29
7/25/10	31	1	0	28
8/1/10	29	1	0	29
8/8/10	32	1	0	28
8/15/10	30	1	0	33
8/22/10	30	1	0	30
8/29/10	32	1	0	30
9/5/10	28	1	0	28
9/12/10	32	1	0	31
9/19/10	33	1	0	32
9/26/10	32	1	0	32
10/3/10	35	1	0	32
10/10/10	32	1	0	30
10/17/10	35	1	0	32
10/24/10	32	1	1	29
10/31/10	30	1	0	30
11/7/10	32	1	0	30
11/14/10	31	1	0	28
11/21/10	31	1	0	27
11/28/10	32	1	0	28
12/5/10	33	1	0	28
12/12/10	32	1	0	26
12/19/10	24	1	0	23
12/26/10	22	1	0	18
1/2/11	30	1	0	26
1/9/11	29	1	0	29
1/16/11	31	1	0	30
1/23/11	29	1	0	28
1/30/11	30	2	0	30
2/6/11	31	1	0	32
2/13/11	30	1	0	30
2/20/11	30	1	0	28
2/27/11	35	1	0	29
3/6/11	32	1	0	31
3/13/11	31	1	1	28
3/20/11	30	1	0	30
3/27/11	31	1	0	29
4/3/11	32	1	0	30
4/10/11	35	1	0	30
4/17/11	30	1	0	29
4/24/11	33	1	1	27
5/1/11	30	1	0	29
5/8/11	32	1	1	32
5/15/11	30	1	1	31
5/22/11	30	1	0	29
5/29/11	27	1	0	27
6/5/11	27	1	0	29
6/12/11	28	1	1	29
6/19/11	28	1	0	29
6/26/11	26	2	0	28
7/3/11	24	1	0	26
7/10/11	26	1	1	27
7/17/11	26	1	1	26
7/24/11	26	1	0	29
7/31/11	27	1	1	27
8/7/11	26	1	0	25
8/14/11	25	1	0	25
8/21/11	27	2	1	27
8/28/11	25	1	1	26
9/4/11	25	1	0	26
9/11/11	28	1	1	27
9/18/11	31	1	0	29
9/25/11	32	1	0	29
10/2/11	30	1	1	27
10/9/11	32	2	0	28
10/16/11	30	2	1	28
10/23/11	28	1	1	26
10/30/11	30	2	1	27
11/6/11	30	1	1	28
11/13/11	32	1	0	29
11/20/11	31	1	0	27
11/27/11	33	1	1	28
12/4/11	29	1	0	27
12/11/11	31	1	0	25
12/18/11	27	1	0	22
12/25/11	22	1	0	16
1/1/12	26	1	0	22
1/8/12	28	1	0	27
1/15/12	30	2	0	27
1/22/12	29	1	0	27
1/29/12	28	2	0	27
2/5/12	33	2	0	29
2/12/12	30	2	0	28
2/19/12	32	2	0	27
2/26/12	31	2	1	29
3/4/12	31	2	0	30
3/11/12	30	2	1	30
3/18/12	30	2	1	28
3/25/12	32	2	1	29
4/1/12	30	2	1	27
4/8/12	29	2	1	28
4/15/12	33	2	1	30
4/22/12	31	1	0	29
4/29/12	29	2	1	27
5/6/12	27	1	0	27
5/13/12	28	2	0	29
