comp.sys.ibm.pc.hardware,point	of	view	why	does	SCSI	have	an	advantage	when	it	comes	to	multi	tasking	Data	is	data	and	it	could	be	anywhere	on	the	drive	Can	SCSI	find	it	faster	can	it	get	it	off	the	drive	and	into	the	computer	faster	Does	it	have	a	better	cache	system	I	thought	SCSI	was	good	at	managing	a	data	bus	when	multiple	devices	are	attached	If	we	are	only	talking	about	a	single	drive	explain	why	SCSI	is	inherently	faster	at	managing	data	from	a	hard	drive	IDE	Integrated	Device	Electronics	currently	the	most	common	standard	and	is	mainly	used	for	medium	sized	drives	Can	have	more	than	one	hard	drive	Asynchronous	Transfer	5MB	s	max	Why	don	t	you	start	with	the	spec	sheet	of	the	ISA	bus	first	You	can	quote	SCSI	specs	till	you	re	blue	in	the	face	but	if	they	exceed	the	ISA	bus	capability	then	what	s	the	point	Who	said	ISA	was	necessary	EISA	or	VLB	are	the	only	interfaces	worth	investing	thousands	of	dollars	e	g	a	new	pc	s	worth	of	money	in	Who	says	IDE	is	limited	to	5	megs	sec	What	about	VLB	IDE	Does	anyone	know	how	they	perform	You	didn	t	read	to	carefully	VLB	IDE	uses	the	same	connection	mechanism	as	standard	IDE	If	transfer	rate	is	limited	by	IDE	whether	it	s	interfaced	to	ISA	EISA	or	VLB	matters	not	So	at	its	LOWEST	setting	SCSI	2	interface	in	Asynchronous	SCSI	1	mode	AVERAGES	the	through	put	MAXIMUM	of	IDE	in	asynchronous	mode	In	full	SCSI	2	mode	it	blows	poor	IDE	out	the	window	down	the	street	and	into	the	garbage	can	As	implimented	on	what	system	On	mine	for	one	thing	SCSI	blows	IDE	out	of	the	water	hands	down	If	IDE	has	better	throughput	why	isn	t	it	used	on	workstations	and	file	servers	The	problem	becomes	can	the	drive	mechanisim	keep	up	with	those	through	put	rates	and	THAT	is	where	the	bottleneck	and	cost	of	SCSI	2	comes	from	NOT	the	interface	itself	but	more	and	more	from	drive	mechanisims	to	use	the	SCSI	2	through	put	Given	the	original	question	SCSI	used	only	as	a	single	hard	drive	controller	is	it	then	necessary	to	get	a	SCSI	drive	that	will	do	at	least	5	maybe	10	megs	sec	for	the	SCSI	choice	to	make	any	sence	What	does	a	200	400	meg	5	megs	sec	SCSI	drive	cost	No	that	s	the	nice	thing	on	a	multitasking	OS	SCSI	can	use	both	drives	at	once	I	ve	got	unix	loaded	on	one	of	my	pcs	along	with	windogs	and	the	OS	can	only	use	one	of	the	two	IDE	drives	at	one	time	It	s	pretty	ugly	I	just	bought	at	Quantum	240	for	my	mac	at	home	I	paid	369	for	it	I	haven	t	seen	IDE	drives	cheaper	The	original	CGA	cart	back	in	84	was	300	I	think	the	original	EGA	card	or	PGA	was	800	SCSI	has	stood	relatively	alone	in	not	coming	down	in	price	mainly	because	we	re	talking	about	PC	s	and	not	Sun	s	or	Sparc	or	SGI	or	name	your	favorite	unix	workstation	That	is	after	millions	of	PC	buying	decisions	over	the	years	SCSI	has	had	plenty	of	time	to	come	down	in	price	No	actually	we	re	talking	about	SCSI	being	expensive	simply	because	nobody	did	a	common	interface	for	the	PC	If	they	had	a	common	read	easily	implemented	method	of	adding	scsi	to	a	PC	like	as	in	a	Sun	or	Mac	then	you	d	find	SCSI	the	connection	medium	of	choice	I	won	t	argue	that	the	SCSI	standard	makes	for	a	good	well	implimented	data	highway	but	I	still	want	to	know	why	it	intrinsically	better	than	IDE	on	an	ISA	bus	when	it	comes	to	multi	tasking	OS	s	when	managing	data	from	a	single	SCSI	hard	drive	On	a	single	drive	SCSI	is	more	expensive	But	you	bought	your	PC	for	expandibility	so	you	d	want	to	add	more	drives	or	whatever	The	following	are	why	I	find	SCSI	intrinsically	better	than	IDE	A	partial	list	1	You	can	add	many	different	types	of	devices	and	access	them	concurrently	2	A	SCSI	device	works	on	many	different	machines	I	have	a	mac	and	a	PC	at	home	and	moving	hard	drives	between	them	is	VERY	nice	with	SCSI	hook	them	up	and	away	they	go	3	SCSI	devices	work	together	better	than	IDE	devices	For	instance	recently	I	added	an	older	connor	100	meg	IDE	to	a	maxtor	212	meg	IDE	The	connor	MUST	be	setup	as	the	slave	It	will	work	no	other	way	On	SCSI	you	set	the	address	check	the	termination	plug	it	in	and	away	it	goes	4	I	have	a	problem	with	IDE	s	mutual	exclusion	I	notice	that	the	time	it	takes	to	switch	from	accessing	drive	c	to	drive	d	is	quite	long	as	compared	to	the	time	it	takes	to	switch	from	drive	c	to	d	on	a	SCSI	system	Under	a	multitasking	OS	this	is	very	noticable	as	many	things	can	be	going	on	at	once	One	neat	thing	that	I	ve	noticed	lately	a	fringe	benefit	has	been	the	ability	to	add	older	almost	dead	drives	as	storage	on	a	SCSI	system	with	little	problem	we	ve	got	a	bunch	of	almost	dead	20	meg	drives	that	I	ve	added	to	my	PC	I	ve	now	got	the	interface	full	but	it	does	allow	me	to	have	4	20	meg	drives	1	240	meg	drive	1	tape	drive	and	1	105	meg	drive	all	on	the	same	card	Simply	put	SCSI	is	handier	than	IDE	No	mysterious	jumpers	to	figure	out	Greg
comp.sys.ibm.pc.hardware,The	only	things	you	ll	be	able	to	salvage	from	the	junior	are	the	floppy	drives	and	monitor	The	floppies	are	360k	and	the	monitor	is	CGA	but	you	will	need	an	adaptor	cable	to	use	it	The	junior	does	not	use	standard	cards	Unless	you	re	really	strapped	for	cash	you	should	just	junk	the	thing	and	buy	new	stuff	Dan
alt.atheism,Well	it	s	obvious	that	you	don	t	attempt	otherwise	you	would	be	aware	that	they	don	t	all	loudly	claim	to	be	the	One	True	Christian	I	ve	tried	to	avoid	using	the	phrase	is	is	not	christian	because	of	these	ownership	issues	instead	I	ve	tried	the	phrase	Nicene	christianity	in	an	attempt	to	identify	the	vast	majority	of	christianity	which	has	roughly	similar	viewpoints	on	the	core	theological	issues	The	JWs	do	not	fall	within	this	group	and	in	fact	espouse	a	position	known	as	Arianism	which	is	rejected	by	all	the	nicene	churches	and	virtually	everyone	else	as	well
alt.atheism,Nope	Germany	has	extremely	restrictive	citizenship	laws	The	ethnic	Germans	who	have	lived	in	Russia	for	over	100	years	automatically	become	citizens	if	they	move	to	Germany	but	the	Turks	who	are	now	in	their	third	generation	in	Germany	can	t	It	s	not	a	very	good	example	to	show	citizenship	without	descent	Karl
comp.sys.ibm.pc.hardware,From	x51948b1	usma1	USMA	EDU	Tue	Apr	20	10	28	47	1993	Received	from	usma1	usma	edu	by	trotter	usma	edu	4	1	SMI	4	1	eef	id	AA01628	Tue	20	Apr	93	11	27	50	EDT	Received	by	usma1	usma	edu	5	51	25	eef	id	AA03219	Tue	20	Apr	93	11	20	18	EDT	Message	Id	9304201520	AA03219	usma1	usma	edu	Date	Tue	20	Apr	93	11	20	17	EDT	From	x51948b1	usma1	USMA	EDU	Peckham	David	CDT	To	cs1442au	decster	uta	edu	Subject	Problem	Status	OR	I	am	running	a	Unisys	PW2	386SX20	with	DOS	6	My	problem	even	when	I	had	DOS	5	0	is	that	when	I	have	EMM386	loaded	I	can	t	CTL	ALT	DEL	If	I	do	the	computer	beeps	a	few	times	rapidly	and	hangs	Then	I	have	to	use	the	obscure	reset	requires	a	screwdriver	or	pencil	or	the	power	switch	to	reboot	Does	anyone	have	a	solution	to	this	problem	E	mail	me	at	x51948b1	usma1	usma	edu	Dave	Thanks	dave	David	S	Peckham	Internet	x51948b1	usma1	usma	edu	U	S	Military	Academy	Jason	Brown	cs1442au	decster	uta	edu
alt.atheism,Yesterday	I	got	the	chance	to	hear	Kurt	Vonnegut	speak	at	the	University	of	New	Hampshire	Vonnegut	succeeded	Isaac	Asimov	as	the	honorary	head	of	the	American	Humanist	Association	Vonnegut	is	an	atheist	and	so	was	Asimov	Before	Asimov	s	funeral	Vonnegut	stood	up	and	said	about	Asimov	He	s	in	heaven	now	which	ignited	uproarious	laughter	in	the	room	from	the	people	he	was	speaking	to	around	the	time	of	the	funeral	It	s	the	funniest	thing	I	could	have	possibly	said	to	a	room	full	of	humanists	Vonnegut	said	at	yesterday	s	lecture	If	Vonnegut	comes	to	speak	at	your	university	I	highly	recommend	going	to	see	him	even	if	you	ve	never	read	any	of	his	novels	In	my	opinion	he	s	the	greatest	living	humorist	greatest	living	humanist	humorist	as	well	Peace
alt.atheism,2	is	a	corrallary	of	1	The	negation	of	2	would	contridict	1	2	Is	a	corrallary	of	1	The	negation	of	2	would	contradict	1	Satan	and	the	Angels	do	not	have	freewill	They	do	what	god	tells	them	to	do
alt.atheism,
comp.sys.ibm.pc.hardware,As	of	today	I	will	no	longer	be	a	contact	for	Zeos	International	on	the	net	This	responsibility	has	been	taken	over	by	another	tech	davidm	zeos	com	and	I	am	moving	up	and	on	mo	money	mo	money	I	just	wanted	to	thank	all	of	the	netters	who	have	supported	and	encouraged	the	participation	of	Zeos	on	the	net	I	personally	feel	it	is	important	for	companies	such	as	Zeos	to	provide	their	customers	with	as	easy	access	as	possible	when	they	have	questions	problems	and	being	on	the	net	is	an	big	step	in	the	right	direction	I	hope	that	other	companies	will	follow	suit	as	Weitek	and	others	have	done	Again	thanks	JRE
alt.atheism,Deletion	Deletion	An	universe	it	has	created	By	the	way	can	you	tell	me	why	it	is	less	tyrannic	to	let	one	of	one	s	own	creatures	do	what	it	likes	to	others	By	your	definitions	your	god	has	created	Satan	with	full	knowledge	what	would	happen	including	every	choice	of	Satan	Can	you	explain	us	what	Free	Will	is	and	how	it	goes	along	with	omniscience	Didn	t	your	god	know	everything	that	would	happen	even	before	it	created	the	world	Why	is	it	concerned	about	being	a	tyrant	when	noone	would	care	if	everything	was	fine	for	them	That	the	whole	idea	comes	from	the	possibility	to	abuse	power	something	your	god	introduced	according	to	your	description
comp.sys.ibm.pc.hardware,stuff	deleted	Just	a	note	even	though	the	805	can	address	2	megs	of	dram	the	Stealth	24	VLB	can	only	handle	1	meg	unless	Diamond	has	a	newer	design	or	some	special	deal	with	Zeos
comp.sys.ibm.pc.hardware,I	am	looking	for	a	CDROM	audio	cable	to	connect	my	Toshiba	3401B	L	R	audio	to	the	Pro	Audio	Spectrum	16	sound	card	Thanks	in	advance	for	any	pointers
